브랜드
101번지
110양꼬치
1984혜화시장
20회수산
24시무인아이스크림할인점
24시전주이맛콩나물국밥
24시프리카페
30년불멸의닭발
33떡볶이
33떡봌이
37.5
5&커피
60계치킨
692고기포차
6떡갈비
79파운야드
88옛날통닭
88제육
88포장마차
9279잘군
BGT호두단팥빵
CGV용산아이파크몰
DK치킨
KFC
KMGM
K펍
SNS무인분식
SNS민속주점
bhc치킨
가나점보돈까스
가르텐비어
가마로강정
가마치통닭
가메골푸드
가야한우갈비살
가온커피전문점
가장맛있는족발
간빠이
간빠진새
간이역
간이역민속주점
간이역왕노가리
간지
간지족발보쌈&국수
갈비애드림
갈팡즙팡과일디저트카페
감동식당등갈비찜
감성커피
감정선프로젝트
감탄
감탄가양역점
갑석이네
갑식이네착한낙지
강남미인계
강남밥상
강남콩
강너머
강동시니어상담카페
강동시니어클럽
강릉초당짬뽕순두부
강시떡볶이
강창구찹쌀진순대
강촌숯불닭갈비
개나리아구찜
갱스터떡볶이
경복궁블랙
경복궁아침
경성고기꾼
경성맥주
경성양꼬치
경성육개장부대찌개
경양카츠
경희븟
계동치킨
계림원
계혁명당고개점
고고
고고함박
고기듬뿍대왕비빔밥
고기싸롱
고기씨롱
고대빵
고디바
고래맥주창고
고르다피자
고망고
고반식당
고봉당
고봉민김밥인
고속도로휴게소
고식
고양이놀이터
고양이카페
고피자
고향
곤지암할매소머리국밥
곤트란쉐리에
곰작골나주곰탕
곱분이곱창
곱창고
곱창이야기
공감호프
공룡통닭
공릉닭한마리
공릉동원조멸치국수
공씨네주먹밥
공원닭한마리닭칼국수
공탕
곽대리
곽선생왕만두
광계토
광화문국밥
교동전선생
교동짬뽕
교동찜닭
구노포차
구도로통닭
구룡각
구스띠모
구스카토커피
구운몽
구이가
구이역
국대떡볶이
국물에빠진두루치기
국밥도령
국밥생각
국밥쟁이
국밥참맛있는집
국수나무
군산할매쭈꾸미
군산횟집
굴리엘모
굴마을낙지촌
굽네치킨
굽자나
굿손
궁채
귀한족발
그라미
그라찌에
그랑데뷰
그래인스쿠키
그랜드돈까스
그레인스쿠키
그린앤피니
그옛날즉석짜장
글라쇼
금동주점
금별맥주
금화왕돈까스
기기커피
기대만족
기막힌밥상
기발한치킨
기소야
긴자료코
김가네
김밥나라
김밥천국
김밥하우스
김복남맥주
김봉남포장마차
김삼순생고기전문점
김영희강남동태찜
김철1080칼국수
김회장고깃집
깐깐
꼬망이
꼬지사께
꼬치공방
꼼포차
꾸꾸루꾸바베큐
꾸꾸삼겹
꾸석지
꾸석지돌판한우
꾸움과자점
꾸이한끼
꿈떡꿈떡
나라라파닭치킨
나리타
나리타이자카야
나무네요
나우커피
나인프라임푸드
나폴레옹과자점
나폴레옹베이커리
나히차
난타5000피자
날쌘카페
남가네설악추어탕
남다른감자탕
남문통닭표수원왕갈비통닭
남오토코
남원골추어탕
남촌회관
남포수제비
낭만짚불구이
내가조선의닭이다
내고향생삼겹전문점
냉면장인임사부
냠냠
냠냠족발&보쌈
너구리베이글
너와나노래주점
넌럭셔리어스컴퍼니
넥스트에디션
노
노군꼬치
노브랜드버거
노상치킨양재역점
노원찹쌀도너츠
노티드
놀부보쌈
놀부부대찌개
농가통닭
누구나홀딱반한닭
눈꽃마녀
눈맞은짝태앤노가리
뉴마왕핫도그&커피
뉴맥시칸
뉴멕시칸
뉴스타하이볼
뉴욕야시장
뉴욕제과성산점
뉴질랜드내츄럴코리아
뉴트로2010
느린마을양조장
니뽕내뽕
다기다기숯불닭갈비
다노이
다다하다
다독다독
다래헌
다리집
다마야끼
다미만두
다우가왕만두찐빵
다은푸드
다트프린스
다함하비오
닥앤독스
단정
달다곰이
달떡볶이
달래해장
달리는커피
달리는토끼
달리자맥주
달마이어커피
달빛맥주
달콤왕가탕후루
달콤커피
달토끼의떡볶이흡입구역
닭복탕
닭스
닭익는마을
닭찌
담소소사골순대육개장
담솥
담아담아
담온정
당산쭈꾸미
대가인생순두부
대도가
대도함흥냉면
대디스베이커리
대림닭강정
대림반점
대양참치
대왕통닭
대조식당
대찬갈비
대패상회
대한푸드청록미나리식당
대흥동멸치국수
대흥양꼬치
더
더까까주까
더까까주까&에그카페24
더꼬치다
더달달
더달달아이스크림할인점
더리터
더메이즈
더베이크
더벤티
더블제이스피자
더스시
더진국
더철판삼겹
더치앤빈
더카페
더카페하임즈
더코드
더큰도시락
더큰식탁
더퍼스트클래스파티
더후라이븐
던킨
덤앤더머
덮밥90도씨
덮밥장사장
덮밥집
덮밥집이야
덮음밥
데니스커피
데미타스
데이롱카페
데이롱커피
델리호두과자
델리후레쉬
델스푼
뎁짜이
도네누
도란도란꼬마김밥
도마토김밥
도시맥주
도시피자
도어이스케이프
도쿄베이커리
도토리편백집
독도떡볶이
독도참치
독도해물알찜
독일빵집
돈까스짱
돈돼후야시장
돈이왕족발보쌈
돈치킨
돈카츠프라이
돈통마늘보쌈
돌깨마을맷돌순두부
돌배기집
돌우물
돌우에프엔비
돌화격닭강정
동경야시장
동대문닭꼬치
동래정
동북반점
동춘돌곱창
동해반점
돼지짚단삼겹살
두꺼비식당
두끼
두리맛감자탕
두리아치킨
두부공방
두부자통닭
두자매비어
둘둘치킨
둘시제과점
듀블럭
드롭탑
등촌샤브칼국수
디어스베이커리
딜리셔스
따띠삼겹
따삐오더큰피자
따숩수프
따팡양꼬치
딱지치기
땅땅치킨
땅스부대찌개
땡스피자
떠기다방교대역점
떡가게종춘
떡담
떡이레
떡튀분식
떳다왕만두
떼루와
또래오래
또보겠지
또봉이통닭
또뽀끼야
뚜레쥬르
뚱보집
뜰
뜸들이다
라공방
라떼킹
라면국물편의점포차
라미네분식
라밥
라보카
라부파마라탕
라사천마라탕
라스타
라오베이징탕후루
라운드어바웃
라임과자점
라홍방마라탕
라화쿵부
란콰이펑누들
러반로제레스토랑
러브미텐더동네치킨
럭키스팟
레드애플
로네펠트티하우스
로봇카페[B:eat]
로스터리락온
로우커피스탠드
로코타코
로하스
롤링파스타
롤링핀
루얼
룰루랄라치킨&호프
룸의정석
룸익스케이프
룸즈에이
룸카페바니
류
르븨밀크
르빵
리또리또
리스본캔어리
리앙크리스피롤
리얼안심탕수육
리얼안심탕수육&리얼하노이
리얼펍
리춘시장
리킨치킨&호프
리틀루비스
리파인
리프커피
림스치킨
마듀
마레
마루동
마리웨일237
마린커피
마마지트
마망젤라또
마부마라탕
마부육전
마성떡볶이
마스터키
마운틴피자
마을회관
마이니치라멘
마이요거트립
마켓베이커리
마키노차야
마포냉삼겹파김치
마포육곳간
막사모전주생막걸리
막썰이회
만나생선구이전문점
만랩커피
만리장성
만복국수집
만복래반점
만족오향족발
맘스터치
맘스피자
맛닭꼬
맛있는술집여기미술관
맛찜도시락
맛찜랭킹
맛환장
망고식스
매드후라이치킨
매머드익스프레스
매머드커피
매운족발땡기는날
매일더맥주
매일유업
맥도날드
맥시칸치킨
맥주창고
맥코이
맵꼬만명태찜
머더파커
먹보
메가MGC커피
메고지고
메르밀진미집
메리엘스
메이게츠
메이드카페
메차쿠차
메콩타이
멕시칸치킨
멘무샤
멘지신도림점
멘츠루
멜로드도산
명가통닭
명동쭈꾸미
명동칼국수
명동칼국수보쌈
명동칼국수샤브샤브
명동할머니국수
명랑한찜닭
명랑핫도그
명륜진사갈비
명성양갈비전문점
명성왕족발
명인갈비
명인만두
명태어장
모노치즈
모두의만족
모두의피자
모란김밥
모로미쿠시
모리셔스브라운
모비딕
모스키친
모에드
모쿠816카페
모펀
목구멍
목우촌웰빙마을
목탄장
몬스터피자
몰랑이수
몽땅할인점
몽블랑제
몽슈슈
무교동본낙지
무봉리토종순대국
무안수산
무안식당
무일
무청감자탕
문
문가네정육식당
문스타파
문정냉삼
문토리
미드나잇145
미미고
미분당
미사랑
미사리밀빛초계국수
미소야
미스타교자
미스터리룸이스케이프
미스터보쌈5379
미스터와우
미스터탄둘
미스터포
미스터힐링
미정국수0410
미진축산
미카도스시
믹존스피자
민들레김밥과분식
민영활어공장
민카페
밀가옥
밀라노뽕
밀앤미과자점
밀크이즘
밀향기국시전문점
바나타이거
바나프레소
바다가내손아귀
바다생협대광어회집
바다수심3미터
바다양푼이동태탕
바로굼빵터
바르다김선생
바른빵집
바불리옛날왕만두
바오로흑염소
바우네나주곰탕
바코삼겹살
박가뼈다귀감자탕
박영희왕만두전문점
박정자할매족발보쌈
반궁
반기돈
반지더하기
반했닭
반했닭옛날통닭
발리다포차
밥먹자국밥집
밥플러스
밧단포포
방배꼬마네김밥
배스킨라빈스
백가손맛
백남옥달인손만두
백남옥손만두
백년백세전통삼계탕
백미당
백번가코다리찜
백소정
백스비어
백억커피
백채김치찌개
백채김치찌개와
밸런티
버거리
버거맨
버거앤프라이즈
버거킹
버들골이야기
버틀러커피
벌떡
범스비어
베러댄
베르떼
베이글꼬끄
베이글랜드
베즐리
베즐리베이커리
베트남노상식당
벤티프레소
벼락떡볶이
별별아이스
별빛맥주
볏집구이이야기
병천황토방순대
보네스뻬
보드람치킨
보름쇠
보리네생고깃간
보마켓
보스참치강북구점
보승회관
보이브라질
복만루
복호두
본가스시
본가왕냉면화로구이
본래순대
본스치킨
본우리집
본죽
본초불닭발
본촌치킨
본흑염소능이삼계탕
봄담아
봄베그릴
봄설
봄이보리밥
봉구비어
봉명가닭도리탕
봉명동내커피
봉이네찜닭&닭도리탕
봉추찜닭
봉평메밀국수
봉포머구리
봉화고기마을
봉화골
부뚜막순대국
부산진오뎅
부엉이산장
북창동순두부
북촌손만두
북카페산책
분식을담다
분지로
불막열삼
불아더두마리숯불바베큐
불향쭈꾸미막국수
브라더한정식도시락
브랑제리
브래드웍스
브레댄코
브레드칸
브롱스
브루티
블럭키친
블루샥
블루포트
비밀시그니처
비밀의화원
비보피자
비비커피
비어에잇
비어오크
비어포차
비에스푸드
비트
비트커피수서역점
비트커피알커피점
비트포비아
빅뉴스
빈스앤와플
빈스피자
빈트리이백이십오
빙수다
빠아앙
빨라쪼델프레도
빵굼터
빵마을과자점
빵빵한연구소
빵쌤
빵아빵아
빵어니스타
빵위에치즈
빵집오빠
빽다방
뻥튀기공작소
뽀쪼
뽕나무쟁이
뽕잎사랑
뿡뿡24시아이스크림할인점
쁘띠렌
쁘띠쁘아송
쁘띠크로아상
쁠랑
사나포차
사랑채얼음막걸리
사바요리주점
사보텐
사이야
사조참치
사조회참치
산책하늘
살로만치킨
삼거리시장국수
삼겹본능
삼곱식당
삼백돈돈가츠
삼산회관
삼성화재이우시랑
삼원식당
삼청당
삼형제김밥
상상돈가츠&냉모밀
상상의문
새로포차
새마을식당
새벽길빨간오뎅
샐러디
샐러링
생생돈까스
생활맥주
샤브20
샤브로21
샤브보트
샤브진
샤브포레스트
샤브향
샤토레제
샹제르망과자점
서가앤쿡
서경
서교주담
서래갈매기
서래식당
서만복닭강정
서부청기와감자탕
서우샤브샤브
서울갈비
서울도넛츠
서울동
서울만두
서울미나리
서울밥집
서울은마꽈배기
