역,이름,주소,상세보기,메뉴
을지로입구,경성양꼬치,서울 종로구 삼일대로17길 42-6,https://place.map.kakao.com/13266460,메뉴 정보 없음
을지로입구,생활맥주 명동점,서울 중구 명동7길 21 명동아르누보센텀 1층 116호,https://place.map.kakao.com/334071007,메뉴 정보 없음
을지로입구,맥도날드 서울시청점,서울 중구 남대문로9길 51 효덕빌딩 1층,https://place.map.kakao.com/11902329,메뉴 정보 없음
을지로입구,이디야커피 명동중앙점,서울 중구 명동7길 21 명동아르누보센텀 1층 121호,https://place.map.kakao.com/13061998,메뉴 정보 없음
을지로입구,생활맥주 무교점,서울 중구 남대문로9길 12 나전빌딩 다동 1층 100-A호,https://place.map.kakao.com/1112611642,메뉴 정보 없음
을지로입구,오커피랩 을지로입구점,서울 중구 남대문로 116 1층,https://place.map.kakao.com/1809689257,메뉴탭 없음
을지로입구,바나프레소 무교점,서울 중구 남대문로9길 40 센터플레이스 1층,https://place.map.kakao.com/637723178,메뉴 정보 없음
을지로입구,컴포즈커피 명동길점,서울 중구 명동7길 18 1층,https://place.map.kakao.com/1067336083,메뉴 정보 없음
을지로입구,명동서서갈비,서울 중구 명동7가길 20-8 1층,https://place.map.kakao.com/536955002,메뉴탭 없음
을지로입구,산불등심,서울 중구 을지로3길 30,https://place.map.kakao.com/12448101,메뉴 정보 없음
을지로입구,이디야커피 다동점,서울 중구 다동길 46 다동빌딩 1층,https://place.map.kakao.com/25595524,메뉴 정보 없음
을지로입구,규반,서울 중구 을지로 29 더존 을지타워 1층,https://place.map.kakao.com/929573153,메뉴탭 없음
을지로입구,맥도날드 명동점,서울 중구 명동7길 8 1층,https://place.map.kakao.com/12674579,메뉴 정보 없음
을지로입구,고양이놀이터 명동점,서울 중구 명동8길 37-14 3층,https://place.map.kakao.com/17522361,메뉴 정보 없음
을지로입구,폴바셋 을지로파인에비뉴점,서울 중구 을지로 100 파인에비뉴 A동 1층,https://place.map.kakao.com/1499178264,메뉴 정보 없음
을지로입구,파리바게뜨 무교점,서울 중구 남대문로9길 40 센터플레이스 1층 110호,https://place.map.kakao.com/15284545,메뉴 정보 없음
을지로입구,세븐스퀘어,서울 중구 소공로 119 프라자호텔 2층,https://place.map.kakao.com/21340612,메뉴 정보 없음
을지로입구,아바,서울 중구 무교로 17-27,https://place.map.kakao.com/16931012,메뉴탭 없음
을지로입구,뚜레쥬르 무교점,서울 중구 남대문로9길 40 센터플레이스 1층 114~115호,https://place.map.kakao.com/1832574725,메뉴 정보 없음
을지로입구,메가MGC커피 명동한진빌딩점,서울 중구 남대문로 63 본관 1층,https://place.map.kakao.com/1018626220,메뉴 정보 없음
을지로입구,바나프레소 페럼타워점,서울 중구 을지로5길 19 페럼타워 1층,https://place.map.kakao.com/2115890056,메뉴 정보 없음
을지로입구,북창동순두부 명동점,서울 중구 명동7길 19 중원빌딩 3층,https://place.map.kakao.com/319369357,메뉴 정보 없음
을지로입구,롯데호텔서울 로비라운지,서울 중구 을지로 30,https://place.map.kakao.com/21309684,메뉴탭 없음
을지로입구,오카구라,서울 종로구 삼일대로 382 지하1층,https://place.map.kakao.com/180676940,메뉴탭 없음
을지로입구,동해,서울 중구 무교로 16 1층,https://place.map.kakao.com/11246084,메뉴 정보 없음
을지로입구,제일제면소 명동점,서울 중구 명동7길 13 호텔28 2층,https://place.map.kakao.com/1784621254,메뉴 정보 없음
을지로입구,심야식당하루,서울 중구 다동길 33,https://place.map.kakao.com/1288627068,메뉴탭 없음
을지로입구,도리방,서울 중구 다동길 36,https://place.map.kakao.com/12503211,메뉴 정보 없음
을지로입구,이디야커피 명동역점,서울 중구 퇴계로 103 1층,https://place.map.kakao.com/18294054,메뉴 정보 없음
을지로입구,델리카한스 롯데호텔서울,서울 중구 을지로 30 본관 1층,https://place.map.kakao.com/21307169,메뉴 정보 없음
을지로입구,오다리집간장게장,서울 중구 명동8나길 10 사보이호텔 2-3층,https://place.map.kakao.com/419569579,메뉴탭 없음
을지로입구,라라당,서울 중구 남대문로9길 51 효덕빌딩 1층 102호,https://place.map.kakao.com/1664582924,메뉴탭 없음
을지로입구,동아리,서울 중구 세종대로14길 32,https://place.map.kakao.com/1323721193,메뉴 정보 없음
을지로입구,시오팡야 롯데백화점본점,서울 중구 남대문로 81 지하1층,https://place.map.kakao.com/239145023,메뉴 정보 없음
을지로입구,에그2000 서울명동점,서울 중구 명동길 1-6 1층,https://place.map.kakao.com/2143038199,메뉴 정보 없음
을지로입구,대한삼계탕,서울 중구 퇴계로 103 2층,https://place.map.kakao.com/10316246,메뉴탭 없음
을지로입구,명동칼국수샤브샤브,"서울 중구 남대문로9길 40 2층 216,217호",https://place.map.kakao.com/23641702,메뉴 정보 없음
을지로 3가,폴바셋 을지로파인에비뉴점,서울 중구 을지로 100 파인에비뉴 A동 1층,https://place.map.kakao.com/1499178264,메뉴 정보 없음
을지로 3가,오카구라,서울 종로구 삼일대로 382 지하1층,https://place.map.kakao.com/180676940,메뉴탭 없음
을지로 3가,이대감고깃집 본사직영점,서울 종로구 수표로 96 국일관드림팰리스 1층,https://place.map.kakao.com/11908234,메뉴 정보 없음
을지로 3가,신세계분식,서울 중구 수표로 40-1 1층,https://place.map.kakao.com/16038788,메뉴 정보 없음
을지로 3가,을지하옥,서울 중구 충무로5길 25-1,https://place.map.kakao.com/1481437462,메뉴 정보 없음
을지로 3가,메가MGC커피 명보사거리점,서울 중구 마른내로 42-1 1층,https://place.map.kakao.com/553010728,메뉴 정보 없음
을지로 3가,이디야커피 을지로3가점,서울 중구 수표로 45 비즈센터 102호,https://place.map.kakao.com/8042162,메뉴 정보 없음
을지로 3가,우기식당,서울 중구 충무로5길 18,https://place.map.kakao.com/2041745668,메뉴탭 없음
을지로 3가,포포인츠 바이 쉐라톤 명동 에볼루션,서울 중구 삼일대로10길 36 3층,https://place.map.kakao.com/1668173769,메뉴탭 없음
을지로 3가,경성양꼬치,서울 종로구 삼일대로17길 42-6,https://place.map.kakao.com/13266460,메뉴 정보 없음
을지로 3가,을지커피숍,서울 중구 을지로 130-1,https://place.map.kakao.com/1606969844,메뉴탭 없음
을지로 3가,탐앤탐스 종로한올타워점,서울 종로구 종로 96 1층,https://place.map.kakao.com/385398710,메뉴 정보 없음
을지로 3가,간빠진새 을지로점,서울 중구 을지로14길 27 1층,https://place.map.kakao.com/1809890598,메뉴탭 없음
을지로 3가,이비스스타일앰배서더 명동 르스타일레스토랑,서울 중구 삼일대로 302 21층,https://place.map.kakao.com/325856815,메뉴탭 없음
을지로 3가,79파운야드 을지로3가점,서울 중구 삼일대로10길 36 포포인츠바이쉐라톤서울명동 1층 101호,https://place.map.kakao.com/590171399,메뉴 정보 없음
을지로 3가,르빵 명동성당점,서울 중구 명동길 80 지하1층 B103호,https://place.map.kakao.com/26934440,메뉴 정보 없음
을지로 3가,빨간우체통,서울 중구 을지로 지하 106 1층,https://place.map.kakao.com/27249154,메뉴 정보 없음
을지로 3가,담소소사골순대육개장 충무로점,서울 중구 충무로 34 1층,https://place.map.kakao.com/22025651,메뉴 정보 없음
을지로 3가,메가MGC커피 충무로역점,서울 중구 퇴계로 195 하니빌딩 1층 2~3호,https://place.map.kakao.com/946029789,메뉴 정보 없음
을지로 3가,투썸플레이스 파인애비뉴점,서울 중구 을지로 100 파인에비뉴 B동 1층 105~107호,https://place.map.kakao.com/1030563249,메뉴 정보 없음
을지로 3가,한신포차 종로관철점,서울 종로구 종로14길 9 지하1층,https://place.map.kakao.com/179449535,메뉴 정보 없음
을지로 3가,맥도날드 종로3가점,서울 종로구 종로 115 낙원빌딩 1-2층,https://place.map.kakao.com/8350550,메뉴 정보 없음
을지로 3가,하이디라오 명동점,서울 중구 명동3길 36 마이티빌딩 1층,https://place.map.kakao.com/1820258951,메뉴탭 없음
을지로 3가,아소토베이커리,서울 중구 수표로10길 19 1층,https://place.map.kakao.com/1631356269,메뉴 정보 없음
을지로 3가,논데,서울 종로구 종로18길 37 하이뷰디아트 2층,https://place.map.kakao.com/885392946,메뉴탭 없음
을지로 3가,애플커피&베이글,서울 중구 수표로 32,https://place.map.kakao.com/9263605,메뉴탭 없음
을지로 3가,버거킹 종로점,서울 종로구 종로 94 1층,https://place.map.kakao.com/20373593,메뉴 정보 없음
을지로 3가,한사발포차 종각점,서울 종로구 삼일대로15길 13,https://place.map.kakao.com/2142569683,메뉴탭 없음
을지로 3가,고양이놀이터 명동점,서울 중구 명동8길 37-14 3층,https://place.map.kakao.com/17522361,메뉴 정보 없음
을지로 3가,커피스미스 종로점,서울 종로구 종로 85 2층,https://place.map.kakao.com/27200406,메뉴 정보 없음
을지로 3가,통나무집,서울 중구 마른내로6길 16,https://place.map.kakao.com/172216760,메뉴 정보 없음
을지로 3가,로우커피스탠드 을지로점,서울 중구 을지로 97-1,https://place.map.kakao.com/1658640191,메뉴탭 없음
을지로 3가,컴포즈커피 명동길점,서울 중구 명동7길 18 1층,https://place.map.kakao.com/1067336083,메뉴 정보 없음
을지로 4가,제주은희네해장국 을지로4가점,서울 중구 창경궁로5길 5 1층,https://place.map.kakao.com/676653541,메뉴 정보 없음
을지로 4가,카페베네 을지로PJ호텔점,서울 중구 마른내로 71 1층,https://place.map.kakao.com/1500300177,메뉴 정보 없음
을지로 4가,메가MGC커피 명보사거리점,서울 중구 마른내로 42-1 1층,https://place.map.kakao.com/553010728,메뉴 정보 없음
을지로 4가,통나무집,서울 중구 마른내로6길 16,https://place.map.kakao.com/172216760,메뉴 정보 없음
을지로 4가,커푸,서울 중구 창경궁로 62-4 1층,https://place.map.kakao.com/1831220203,메뉴 정보 없음
을지로 4가,웰빙한정식부페,서울 중구 동호로33길 2,https://place.map.kakao.com/21234262,메뉴탭 없음
을지로 4가,세운나다방,서울 중구 을지로 157 대림상가 4층 464-4호,https://place.map.kakao.com/9129225,메뉴 정보 없음
을지로 4가,PJ호텔 P&J레스토랑,서울 중구 마른내로 71 3층,https://place.map.kakao.com/227818341,메뉴탭 없음
을지로 4가,스테이락 성원뷔페,서울 중구 퇴계로 211-5 3층,https://place.map.kakao.com/1298831834,메뉴탭 없음
을지로 4가,오떡순한식부페,서울 종로구 종로 183 지하2층 2001호,https://place.map.kakao.com/22304398,메뉴탭 없음
을지로 4가,백제식당,서울 종로구 종로26길 18,https://place.map.kakao.com/15336036,메뉴탭 없음
을지로 4가,네츠커피하우스,서울 중구 퇴계로41길 22 2층,https://place.map.kakao.com/990837664,메뉴탭 없음
을지로 4가,을지하옥,서울 중구 충무로5길 25-1,https://place.map.kakao.com/1481437462,메뉴 정보 없음
을지로 4가,을지커피숍,서울 중구 을지로 130-1,https://place.map.kakao.com/1606969844,메뉴탭 없음
을지로 4가,메가MGC커피 충무로역점,서울 중구 퇴계로 195 하니빌딩 1층 2~3호,https://place.map.kakao.com/946029789,메뉴 정보 없음
을지로 4가,담소소사골순대육개장 충무로점,서울 중구 충무로 34 1층,https://place.map.kakao.com/22025651,메뉴 정보 없음
을지로 4가,둘둘치킨 을지로4가점,서울 중구 을지로20길 10,https://place.map.kakao.com/11089581,메뉴 정보 없음
을지로 4가,코리아호프,서울 중구 을지로33길 40,https://place.map.kakao.com/1437308085,메뉴탭 없음
을지로 4가,우기식당,서울 중구 충무로5길 18,https://place.map.kakao.com/2041745668,메뉴탭 없음
을지로 4가,을지커피호프,서울 중구 을지로33길 31 1층,https://place.map.kakao.com/132622657,메뉴탭 없음
을지로 4가,노보텔앰배서더 서울동대문호텔&레지던스 푸드익스체인지,서울 중구 을지로 238 20층,https://place.map.kakao.com/1983561343,메뉴탭 없음
을지로 4가,간빠진새 을지로점,서울 중구 을지로14길 27 1층,https://place.map.kakao.com/1809890598,메뉴탭 없음
을지로 4가,이대감고깃집 본사직영점,서울 종로구 수표로 96 국일관드림팰리스 1층,https://place.map.kakao.com/11908234,메뉴 정보 없음
을지로 4가,버거킹 충무로역점,서울 중구 퇴계로 216 1-2층,https://place.map.kakao.com/19338700,메뉴 정보 없음
을지로 4가,팔도회집,서울 종로구 종로31길 28 1층,https://place.map.kakao.com/12045294,메뉴 정보 없음
을지로 4가,아이플레이,서울 중구 을지로 153-17,https://place.map.kakao.com/833923868,메뉴탭 없음
을지로 4가,빨간우체통,서울 중구 을지로 지하 106 1층,https://place.map.kakao.com/27249154,메뉴 정보 없음
을지로 4가,60년전통떡집,서울 종로구 창경궁로 88,https://place.map.kakao.com/1624582296,메뉴탭 없음
을지로 4가,신세계분식,서울 중구 수표로 40-1 1층,https://place.map.kakao.com/16038788,메뉴 정보 없음
을지로 4가,더키친늘,서울 중구 동호로 354 1층,https://place.map.kakao.com/900178393,메뉴탭 없음
을지로 4가,할리스 종로5가점,서울 종로구 동호로 401,https://place.map.kakao.com/865069485,메뉴 정보 없음
을지로 4가,단군나라,서울 중구 동호로37길 33-15,https://place.map.kakao.com/16035662,메뉴탭 없음
을지로 4가,굿맘할매순대국,서울 중구 창경궁로8길 5,https://place.map.kakao.com/910009112,메뉴 정보 없음
을지로 4가,잉꼬치킨호프,서울 중구 창경궁로8길 2-1,https://place.map.kakao.com/15483421,메뉴 정보 없음
을지로 4가,더벤티 을지로4가역점,서울 중구 을지로 186 1층,https://place.map.kakao.com/111566364,메뉴 정보 없음
을지로 4가,아지트,서울 중구 퇴계로44길 8-12,https://place.map.kakao.com/27268077,메뉴 정보 없음
을지로 4가,이디야커피 오장동점,서울 중구 마른내로 109-1 1층,https://place.map.kakao.com/146241342,메뉴 정보 없음
을지로 4가,커푸copoo,서울 중구 창경궁로 62-4,https://place.map.kakao.com/836201263,메뉴탭 없음
을지로 4가,커피니 을지로4가역점,서울 중구 을지로 지하 178 2호선 을지로4가역 지하1층,https://place.map.kakao.com/18135329,메뉴 정보 없음
을지로 4가,바우부페,서울 중구 퇴계로45길 16,https://place.map.kakao.com/21535722,메뉴탭 없음
을지로 4가,초가집,서울 중구 마른내로6길 23 1층,https://place.map.kakao.com/1436140353,메뉴탭 없음
을지로 4가,왕벌집,서울 종로구 돈화문로4길 41,https://place.map.kakao.com/16471417,메뉴 정보 없음
을지로 4가,미리내 웰빙한정식부페,서울 중구 을지로20길 16 진양빌딩 2층,https://place.map.kakao.com/18781504,메뉴탭 없음
을지로 4가,을지갈매기,서울 중구 충무로 55,https://place.map.kakao.com/1021051397,메뉴 정보 없음
을지로 4가,충무물갈비 본점,서울 중구 퇴계로37길 26,https://place.map.kakao.com/988396075,메뉴 정보 없음
을지로 4가,스시소라 을지로점,서울 중구 을지로 170,https://place.map.kakao.com/118728963,메뉴탭 없음
을지로 4가,갈릭보이,서울 종로구 창경궁로 88 1층 46호,https://place.map.kakao.com/608307908,메뉴탭 없음
을지로 4가,씨씨씨,서울 중구 창경궁로8길 33,https://place.map.kakao.com/21545679,메뉴탭 없음
을지로 4가,논데,서울 종로구 종로18길 37 하이뷰디아트 2층,https://place.map.kakao.com/885392946,메뉴탭 없음
을지로 4가,금동화로숯불구이,서울 중구 퇴계로41길 35,https://place.map.kakao.com/8806444,메뉴탭 없음
을지로 4가,폴바셋 을지로파인에비뉴점,서울 중구 을지로 100 파인에비뉴 A동 1층,https://place.map.kakao.com/1499178264,메뉴 정보 없음
동대문역사문화공원,노보텔앰배서더 서울동대문호텔&레지던스 푸드익스체인지,서울 중구 을지로 238 20층,https://place.map.kakao.com/1983561343,메뉴탭 없음
동대문역사문화공원,유진참치,서울 중구 장충단로 181,https://place.map.kakao.com/8032156,메뉴 정보 없음
동대문역사문화공원,처갓집양념치킨 광희점,서울 중구 마른내로 163 1층,https://place.map.kakao.com/27357695,메뉴 정보 없음
동대문역사문화공원,원테이크,서울 중구 퇴계로 295,https://place.map.kakao.com/2032560847,메뉴 정보 없음
동대문역사문화공원,웰빙한정식부페,서울 중구 동호로33길 2,https://place.map.kakao.com/21234262,메뉴탭 없음
동대문역사문화공원,감성커피 동대문역사문화공원역점,서울 중구 을지로 282-1,https://place.map.kakao.com/338518611,메뉴 정보 없음
동대문역사문화공원,커피온리 동대문점,서울 중구 퇴계로 301,https://place.map.kakao.com/1886596264,메뉴탭 없음
동대문역사문화공원,더키친늘,서울 중구 동호로 354 1층,https://place.map.kakao.com/900178393,메뉴탭 없음
동대문역사문화공원,이디야커피 광희동점,서울 중구 마른내로 165-1 1층,https://place.map.kakao.com/14526219,메뉴 정보 없음
동대문역사문화공원,사마르칸트,서울 중구 마른내로 159-10 1층,https://place.map.kakao.com/912055564,메뉴탭 없음
동대문역사문화공원,오오키나스시회전초밥,서울 중구 장충단로 205,https://place.map.kakao.com/138971772,메뉴 정보 없음
동대문역사문화공원,고피자 동대문역사점,서울 중구 마른내로 159-4 지하1층,https://place.map.kakao.com/1219144175,메뉴 정보 없음
동대문역사문화공원,콩툰 동대문점,서울 중구 장충단로 253,https://place.map.kakao.com/1134485748,메뉴탭 없음
동대문역사문화공원,카페바이칼,서울 중구 동호로34길 24,https://place.map.kakao.com/1700356811,메뉴탭 없음
동대문역사문화공원,본스치킨 동대문점,서울 중구 마른내로 169 1층,https://place.map.kakao.com/18443409,메뉴 정보 없음
동대문역사문화공원,구렌몽골,"서울 중구 을지로44길 18-4 1층 101,102호",https://place.map.kakao.com/1725662348,메뉴탭 없음
동대문역사문화공원,펀비어킹 중구굿모닝시티점,서울 중구 을지로 255 3층,https://place.map.kakao.com/27226016,메뉴 정보 없음
동대문역사문화공원,뚜레쥬르 제일제당센터점,서울 중구 동호로 330 CJ제일제당빌딩 1층,https://place.map.kakao.com/15686257,메뉴 정보 없음
동대문역사문화공원,아사리판,"서울 종로구 종로40길 20 2,3층",https://place.map.kakao.com/175627261,메뉴 정보 없음
동대문역사문화공원,탄드르,서울 중구 마른내로 155-1 1층,https://place.map.kakao.com/540306580,메뉴 정보 없음
