가게명,missing.csv_브랜드,no_menu_link.csv_이름,no_menu_link.csv_역,no_menu_link.csv_주소,no_menu_link.csv_메뉴,no_menu_link.csv_이유,missing.csv_출현횟수,no_menu_link.csv_출현횟수
카페,카페,카페,,서울 동대문구 무학로 112 1층,메뉴 정보 없음,메뉴 정보 없음,1,1
카페베네,카페베네,카페베네,,서울 동대문구 회기로26길 15 힐스테이트 상가,메뉴 정보 없음,메뉴 정보 없음,1,1
커피나인,커피나인,커피나인,,서울 노원구 하계동 256 중계주공9단지아파트 상가2동 1층 105호,메뉴 정보 없음,메뉴 정보 없음,1,2
커피보라,커피보라,커피보라,,서울 강동구 고덕로98길 75 e편한세상고덕어반브릿지아파트 상가동 4001동 1층 301호,메뉴탭 없음,메뉴탭 없음,1,1
커피온,커피온,커피온,,서울 중랑구 면목로69길 16,메뉴탭 없음,메뉴탭 없음,1,1
크레이지놈,크레이지놈,크레이지놈,,서울 동작구 동작대로27길 15 6층,메뉴 정보 없음,메뉴 정보 없음,1,1
태능감자탕,태능감자탕,태능감자탕,,서울 중랑구 중랑역로 75,메뉴 정보 없음,메뉴 정보 없음,1,1
텐페이지,텐페이지,텐페이지,,서울 성동구 마조로1가길 6 1층,메뉴 정보 없음,메뉴 정보 없음,1,2
토담골민속주점,토담골민속주점,토담골민속주점,,서울 동작구 사당로29가길 5,메뉴탭 없음,메뉴탭 없음,1,2
토리아에즈,토리아에즈,토리아에즈,,서울 중구 동호로12길 67 1층,메뉴 정보 없음,메뉴 정보 없음,1,1
팔도밥상,팔도밥상,팔도밥상,,서울 구로구 경인로55길 13,메뉴 정보 없음,메뉴 정보 없음,1,2
팔보반점,팔보반점,팔보반점,,서울 중구 다산로31길 13 1층,메뉴 정보 없음,메뉴 정보 없음,1,1
평창메밀,평창메밀,평창메밀,,서울 노원구 공릉로 325-7,메뉴탭 없음,메뉴탭 없음,1,1
폼드팡,폼드팡,폼드팡,,서울 송파구 중대로 80 문정프라자 지하2층,메뉴탭 없음,메뉴탭 없음,1,2
폼스치킨,폼스치킨,폼스치킨,,서울 도봉구 도봉로152길 16,메뉴탭 없음,메뉴탭 없음,1,1
풍류,풍류,풍류,,서울 구로구 경인로 196 성진빌딩 2층,메뉴탭 없음,메뉴탭 없음,1,2
프랑세즈과자점,프랑세즈과자점,프랑세즈과자점,,서울 구로구 중앙로1길 18-19,메뉴탭 없음,메뉴탭 없음,1,1
피에스타7커피,피에스타7커피,피에스타7커피,,서울 동작구 사당로16길 19,메뉴탭 없음,메뉴탭 없음,1,1
한가네관점,한가네관점,한가네관점,,서울 구로구 구로중앙로3길 2,메뉴탭 없음,메뉴탭 없음,1,1
한앤둘치킨,한앤둘치킨,한앤둘치킨,,서울 동대문구 신이문로 3,메뉴탭 없음,메뉴탭 없음,1,1
해성반점,해성반점,해성반점,,"서울 영등포구 디지털로37가길 1-1 1,2층",메뉴탭 없음,메뉴탭 없음,1,1
행복한밥상,행복한밥상,행복한밥상,,서울 노원구 석계로1길 22,메뉴탭 없음,메뉴탭 없음,1,5
허흑오리,허흑오리,허흑오리,,서울 영등포구 대림로29길 22,메뉴탭 없음,메뉴탭 없음,1,1
호화반점,호화반점,호화반점,,서울 광진구 용마산로22길 13,메뉴탭 없음,메뉴탭 없음,1,1
환희생고기전문점,환희생고기전문점,환희생고기전문점,,서울 성북구 화랑로 312,메뉴탭 없음,메뉴탭 없음,1,1
황제정육식당,황제정육식당,황제정육식당,,서울 중랑구 공릉로 32,메뉴탭 없음,메뉴탭 없음,1,2
