역,이름,주소,상세보기,메뉴
개화,빚은 개화산역점,서울 강서구 양천로 31 1층 101호,https://place.map.kakao.com/13076109,"모듬찰떡케익 7호 (90,000원); 실속답례 1-1호 (3,200원); 실속답례 2호 (3,000원); 실속답례 3-1호 (3,400원); 실속답례 3호 (3,500원); 실속답례 4호 (3,500원); 옛날백일설기(1개입) (1,800원); 옛날첫돌설기(1개입) (1,800원); 오색무지개 모듬떡케익 2호 (47,000원); 오색무지개 모듬떡케익 3호 (54,000원); 토토는 내친구 내맘대로 떡케익 2호 (42,000원); 플라워 과일맛 설기케익 3호 (43,000원); 플라워 모듬찰떡케익 3호 (62,000원); 호호는 내친구 내맘대로 떡케익 2호 (42,000원); 과일맛 설기케익 3호 (37,000원)"
개화,공항두루치기,서울 강서구 양천로 28 벽산에어트리움 1층 109호,https://place.map.kakao.com/1317487552,"두루치기(돼지볶음)(2인이상) (10,000원); 계란말이 (4,000원); 김치찌개 (9,000원); 부대찌개 (9,000원); 삼겹살 (180g) (15,000원); 목살(180g) (15,000원); 항정살(180g) (18,000원); 가브리살(180g) (17,000원); 모듬1 (520g) (46,000원); 모듬2 (920g) (82,000원); 차돌박이(150g) (25,000원); 소생갈비살(150g) (20,000원); 대패삼겹살(150g) (11,000원); 물냉면 (8,000원); 비빔냉면 (8,000원)"
개화,포아이니 개화산점,서울 강서구 양천로 28 벽산에어트리움 104호,https://place.map.kakao.com/1106526958,"프리미엄 쌀국수 (R) (9,800원); 해장토마토 쌀국수 (R) (11,000원); 포아이니 볶음밥 (9,000원); 유 쌀국수 (R) (8,000원); 스파이시 쌀국수 (R) (8,500원); 새우완탕면 쌀국수 (R) (9,000원); 시푸드 쌀국수 (R) (9,300원); 치킨퐁 쌀국수 (R) (10,500원); 마라 쌀국수 (R) (11,000원); 분짜 (12,000원); 프리미엄 분짜 (14,000원); 파인애플 쉬림프 볶음밥 (8,500원); 후랑크 김치볶음밥 (8,800원); 스파이시 닭가슴살 볶음밥 (9,000원); 숯불고기 볶음밥 (9,500원); 쉬림프 나시고랭 (9,500원); 국내산곱창 볶음밥 (12,000원); 해산물 팟타이 (8,900원); 포아이니 (8,900원); 스파이시 닭가슴살 팟타이 (8,900원); 쉬림프 미고랭 (8,900원); 냉쌀국수 (여름메뉴) (8,500원); 모듬어묵 쌀국수 (겨울메뉴) (8,000원); 똠양꿍 쌀국수 (겨울메뉴) (11,000원)"
개화,촌장골 방화점,서울 강서구 양천로 59,https://place.map.kakao.com/9963657,"촌장 소양념왕갈비 (300g) (38,000원); 한우 꽃등심 (150g) (45,000원); 한우생등심 (150g) (38,000원); 한우 육회 (180g) (30,000원); 촌장 소양념구이 (300g) (34,000원)"
개화,방화동족발,서울 강서구 금낭화로15길 16 새로나음 1층 102호,https://place.map.kakao.com/20884502,"족발 (37,000원); 반반불족 (40,000원); 보쌈 (37,000원); 족발Set (44,000원); 반반불족Set (47,000원); 냉채족발 (43,000원); 미니불족 (20,000원); 혼족Set （1.5인분） (24,000원); 혼불족Set （1.5인분） (24,000원); 혼보쌈Set （1.5인분） (24,000원); 반족추가 (21,000원); 올불족 (40,000원); 미니족 (17,000원); 올불족Set (47,000원); 보쌈Set (44,000원); 냉채족발Set (50,000원); 쟁반국수 (7,000원); 반불족추가 (22,000원); 보쌈고기추가 (김치x) (17,000원); 보쌈김치추가 (4,000원); 선지국 추가 (3,000원); 돼지껍데기 (7,000원); 주먹밥 (3,000원); 공기밥 (1,000원); 오이선 (3,000원); 무생채 (3,000원); 상추세트 (2,000원); 콜라 1.25L (3,000원); 사이다 1.25L (3,000원)"
개화,낮밤,서울 강서구 양천로 27-3 1층,https://place.map.kakao.com/1627727436,"수제등심돈까스안주 (저녁메뉴) (16,000원); 수제함박스테이크안주 (저녁메뉴) (19,000원); 페퍼로니피자 (저녁메뉴) (19,000원); 고르곤졸라피자 (저녁메뉴) (19,000원); 토마토해물스튜 (저녁메뉴) (25,000원); 조개술찜 (저녁메뉴) (17,000원); 소고기전골 (저녁메뉴) (25,000원); 찹스테이크 (저녁메뉴) (26,000원); 유린기 (저녁메뉴) (20,000원)"
개화,장원순대국,서울 강서구 양천로 27-3 1층,https://place.map.kakao.com/16503403,"순대국 (9,000원); 순대국(특) (11,000원); 술국 (15,000원); 술국(특) (20,000원); 모듬순대 (13,000원); 머리고기 (16,000원); 곱창전골(2인이상 가능 공기밥별도) (12,000원); 순대곱창볶음(2인이상가능 공기밥별도) (12,000원)"
개화,마리짱 김포국제공항 익스프레스점,서울 강서구 하늘길 38,https://place.map.kakao.com/1256576369,"국물떡볶이 (4,500원); 오뎅탕 (5,000원); 김치 컵밥 (6,000원); 소불고기컵밥 (6,000원); 야채핫바 (4,000원)"
개화,원조나주곰탕,서울 강서구 양천로14길 10 2동 1층,https://place.map.kakao.com/9934681,"나주곰탕 (13,000원); 수육 (대) (47,000원); 나주곰탕 (특) (16,000원); 수육 (중) (37,000원); 수육 (소) (27,000원)"
개화,고성막국수,서울 강서구 방화대로49길 6-7,https://place.map.kakao.com/16989715,"동치미 막국수 (11,000원); 비빔 막국수 (12,000원); 편육(대) (33,000원); 들기름 막국수 (12,000원)"
개화,개화산튀김명가 본점,서울 강서구 양천로6길 28 상가동 1층,https://place.map.kakao.com/8683472,"떡볶이 (4,000원); 튀김 (5개) (5,000원); 연잎순대 (4,000원); 어묵 (3꼬치) (4,000원); 일곱꼬마김밥 (3,500원); 수제소스 쫄면 (7,500원); 우동 (6,500원); 수연소면 (7,000원); 쫄면 (7,000원); 라면 (5,000원); 야채무침 (4,000원); 오징어 (1,200원); 김말이 (1,000원); 깻잎말이 (1,000원); 고구마 (1,000원); 고추 (1,000원); 만두 (800원); 모듬튀김 (6,000원); 기본(떡볶이+튀김범벅) (9,000원); 음료수 (2,000원)"
개화,사모님짬뽕,서울 강서구 금낭화로18길 10 1층,https://place.map.kakao.com/27223284,"수제만두튀김(한정수량) (7,000원); 홍짬뽕 (10,000원); 백짬뽕 (10,000원); 홍짬뽕밥 (10,000원); 백짬뽕밥 (10,000원); 짜장면 (8,000원); 볶음밥 (9,000원); 깐풍탕수육 (25,000원)"
개화,이디야커피 개화산점,서울 강서구 양천로 28 벽산에어트리움본관 1층 101~103호,https://place.map.kakao.com/1854330589,"생과일 수박주스 (5,800원); ICED 아메리카노 (3,200원); 소금빵 (3,800원); 크로크무슈 (5,300원); 우유생크림 조각케익 (5,500원); 직접 굽는 소보루딸기잼 뚱쿠키 (3,800원); 팥인절미 빙수(1인) (6,800원); (R)바닐라 오트 콜드브루 (5,500원); 생과일 토마토주스 (5,800원); (L)피치망고 드링킹요거트 (5,700원); 케로피 멜론 라떼 (4,500원); (R)포차코 요거젤리 소다 플랫치노 (4,200원); 갈릭쉬림프 프레첼 (2,300원); (변우석)스틱커피 골드블렌드 30T (5,900원); (변우석)스틱커피 골드블렌드 100T (15,200원); HOT 아메리카노 (3,200원); ICED 달달커피 (3,500원); ICED 제로슈가 달달커피 (3,500원); (L)ICED 넛츠 크림 라떼 (5,000원); HOT 연유 카페 라떼 (4,800원); ICED 연유 카페 라떼 (4,800원); HOT 카페 라떼 (4,500원); ICED 카페 라떼 (4,500원); HOT 카페 모카 (4,800원); ICED 카페 모카 (4,800원); HOT 카라멜 마끼아또 (4,800원); ICED 카라멜 마끼아또 (4,800원); HOT 바닐라 라떼 (4,800원); ICED 바닐라 라떼 (4,800원); HOT 화이트 초콜릿 모카 (4,800원)"
개화,백년불고기물갈비 방화점,"서울 강서구 양천로10길 38 신마곡벽산블루밍메트로아파트 판매시설1동 104동 108,115호",https://place.map.kakao.com/770512967,"소불고기 (40,000원); 산더미 물갈비 (44,000원); 소곱창 물갈비 (52,000원); 소곱창 세트(오징어튀김,계란찜)갈비없음 (32,800원); 산더미 세트(오징어튀김,계란찜)갈비없음 (29,800원); 소불고기 세트(오징어튀김,계란찜) (29,500원); 산더미 돈까스샐러드 (13,000원); 1인돈까스 (7,800원); 동치미 칡냉면+소불고기 (15,000원); 메밀소바+소불고기 (15,000원); 샤브고기 추가（200g） (13,000원); 갈비뼈 추가 (13,000원); 소곱창 추가 (15,000원); 라면사리 추가 (1,000원); 버섯추가 (3,000원); 떡추가 (3,000원); 당면추가 (3,000원); 콩나물추가 (3,000원); 미나리 추가 (3,000원); 깻잎 추가 (3,000원); 묵사발추가 (3,000원); 공기밥 (1,000원); 콜라 (2,000원); 사이다 (2,000원); 환타 파인 (2,000원)"
개화,강원평창오대산막국수,인천 계양구 벌말로 612 1층,https://place.map.kakao.com/67048674,"막국수 (9,000원); 메밀만두국 (겨울메뉴) (10,000원); 옹심이 (겨울메뉴) (10,000원)"
개화,연지양꼬치,서울 강서구 양천로 42 1층 1호,https://place.map.kakao.com/1217016131,"양꼬치(생/양념) (15,000원); 꿔바로우 (18,000원); 계란볶음밥 (8,000원); 지삼선 (17,000원); 양갈비살꼬치(생/양념) (18,000원); 양념갈비꼬치(8꼬치) (18,000원); 양스테이크(220g) (24,000원); 소갈비살꼬치 (18,000원); 마늘꼬치(4꼬치) (3,000원); 마파두부 (12,000원); 오이무침 (6,000원); 온면 (8,000원); 계란탕 (7,000원)"
개화,본죽 개화산역점,서울 강서구 양천로 28 벽산에어트리움 별관 1층 136호,https://place.map.kakao.com/7902127,"[NEW] 황금산삼배양근 쇠고기전복죽 (33,000원); [NEW] 신선감태 홍게새우죽 (33,000원); [NEW] 추어죽 (16,000원); 전복죽 （보양） (14,000원); 쇠고기야채죽 (12,500원); 푸팟퐁커리게살쮺(카레)(본죽 반반죽) (17,500원); 쇠고기버섯죽 (12,000원); 7가지야채죽 (10,500원); 참치야채죽 (11,500원); 낙지김치죽 （해장） (13,000원); 신짬뽕죽 （해장） (13,000원); 단호박죽 (11,500원); 명품잣죽 (16,500원); 우리 땅, 청매실（100ml） (1,300원); 단팥죽(달콤한 새알팥죽) (11,500원); 새우죽 (11,000원); 통영굴버섯죽 (11,000원); 동지팥죽(담백한 밥알팥죽) (11,000원); 녹두죽 (10,500원); 흑임자죽 (10,500원); (보양선물추천) 본죽 아롱사태 도가니 장조림 (7,800원); 호두정과(30g) (2,500원); 참깨계란새우쮺(본죽 반반죽) (13,000원); 로제해물쮺(본죽 반반죽) (14,000원); 진전복죽 （전복 2배） (18,000원); 특전복죽 （전복 3배） (22,000원); 전복내장죽 (16,000원); 진전복내장죽 （전복 2배） (20,000원); 특전복내장죽 （전복 3배） (24,000원); 트러플전복죽 (18,000원)"
개화,일품사천불짬뽕,서울 강서구 양천로 28 벽산에어트리움 본관동 지하 1층 105호,https://place.map.kakao.com/1385290049,"불짬뽕 (8,000원); 짜장면 (5,000원); 불짜장 (7,000원); 볶음밥 (6,600원); 불짜장밥 (8,000원); 깐쇼새우 (25,000원); 깐풍새우 (25,000원)"
개화,마이투애니원 컴퍼니,서울 강서구 양천로 9,https://place.map.kakao.com/2117612290,메뉴 정보 없음
개화,오쭈삼,서울 강서구 양천로 28 벽산에어트리움 본관동 105호,https://place.map.kakao.com/146443483,"1인 오쭈삼 (17,000원); 1인 쭈꾸미 (15,000원); 모듬부대찌개（비조리） (17,000원); [시그니처] 오쭈삼 (33,000원); [중독성갑] 쭈꾸미 (28,000원); [찰떡궁합] 쭈꾸미＋삼겹 (31,000원); [가성비 끝판왕] 쭈꾸미＋오징어 (31,000원); 오징어 추가 (8,000원); 삼겹살 추가 (8,000원); 숙주 추가 (3,000원); 떡사리 추가 (2,000원); 우동사리 추가 (3,000원); 치즈사리 추가 (3,000원); 콘치즈 추가 (3,000원); 계란찜 (3,000원); 누룽지탕 (3,000원); 볶음밥 (4,000원); 코카콜라 355mL (2,000원); 칠성사이다 355mL (2,000원); 환타 파인 355mL (2,000원)"
개화,벌말기사부페 본점,인천 계양구 벌말로573번길 3-1,https://place.map.kakao.com/18316669,뼈해장국; 삼계탕; 제육복음; 닭볶음
개화,방화정식당,서울 강서구 양천로 27-3 1층,https://place.map.kakao.com/1124556770,"명품 제주오겹살(180g) (16,000원); 삼겹살(180g) (13,000원); 목삼겹(180g) (13,000원); 차돌박이(150g) (15,000원); 물냉면/비빔냉면 (7,000원); 갈비살 (15,000원); 된장술밥 (8,000원); 알밥 (7,000원); 제주꽃항정살 (13,000원); 오삼불고기 (9,000원)"
개화,방화동쭈꾸미마을 1997,서울 강서구 금낭화로15길 12,https://place.map.kakao.com/8085593,"마늘쭈꾸미 (1인분) (15,000원); 통쭈꾸미 (1인분) (18,000원); 쭈꾸미야채볶음 (1인분) (15,000원); 양념숯불쭈꾸미 (1인분) (15,000원); 쭈삼불고기 (1인분) (15,000원); 불향제육볶음 (1인분) (15,000원); 점심 쭈꾸미야채볶음 (12,000원); 점심 쭈삼불고기 (12,000원); 점심 불향제육 (12,000원); 문어숙회(200g) (28,000원); 쭈꾸미숙회(300g) (30,000원)"
개화,바라던한끼,서울 강서구 양천로11길 31 1층 101호,https://place.map.kakao.com/681679228,"안심까스 (3,500원)"
개화,피자알볼로 방화점,서울 강서구 양천로 25 1층,https://place.map.kakao.com/796631656,"쉬림프n핫치킨피자 (25,000원); 콤비네이션피자 (19,000원); 고구마피자 (20,000원); 나폴리로제피자 (26,000원); 나폴리로제파스타 (10,500원); 페페로니팔자피자 (23,000원); 페페로니더블피자 (19,000원); 페페로니피자R (20,000원); 야채피자R (20,000원); 치즈피자R (20,000원); 하와이안피자R (20,000원); 콤비네이션피자R (20,500원); 포테이토피자R (20,500원); 베이컨체다치즈피자R (21,000원); 불고기피자R (20,500원); 옥수수피자R (21,000원); 단호박피자R (21,000원); 고구마피자R (21,000원); 쉬림프n핫치킨피자R (23,500원); 페페로니피자L (25,000원); 야채피자L (25,000원); 치즈피자L (25,000원); 하와이안피자L (25,000원); 콤비네이션피자L (25,500원); 포테이토피자L (25,500원); 베이컨체다치즈피자L (26,000원); 불고기피자L (25,500원); 옥수수피자L (26,000원); 단호박피자L (26,000원); 고구마피자L (26,000원)"
개화,메가MGC커피 개화산역점,서울 강서구 양천로 28 벽산에어트리움 본관동 지층 B101~102호,https://place.map.kakao.com/1810761810,"아메리카노 (1,500원); 아이스 아메리카노 (2,000원)"
개화,능마루,서울 강서구 금낭화로 107-6,https://place.map.kakao.com/21329740,메뉴 정보 없음
개화,카츠쿠니 개화산역점,서울 강서구 양천로 28,https://place.map.kakao.com/1161657861,"명란크림우동 (9,000원); 수제등심카츠 (9,500원); 수제 햄버그 스테이크 (13,000원); 카츠쿠니 스페셜 (14,500원); 치킨카츠 (9,500원); 사케포키동 (13,000원); 사케동 (13,000원); 카츠동 (8,500원); 오야꼬동 (8,500원); 규동 (8,500원); 소고기카레우동 (7,500원); 소고기 카레라이스 (8,000원); 카레라이스(돈카츠) (8,500원); 치킨카츠 오므라이스 (8,500원); 카츠쿠니 우동 (6,500원); 얼큰김치나베우동 (8,000원); 오뎅나베우동 (8,000원); 왕새우튀김우동 (9,000원); 히야시소바 (9,000원)"
