역,이름,주소,상세보기,메뉴
수서,벌교한상,서울 강남구 광평로46길 7 1층,https://place.map.kakao.com/517266022,"소화한상 (15,000원); 벌교한상 (24,000원); 보리굴비정찬 (31,000원); 새꼬막 (통,양념) (소) (20,000원); 꼬막무침 (35,000원); 보쌈 (중) (35,000원); 문어숙회 (35,000원); 홍어회 (35,000원)"
수서,청국장과보리밥 수서점,서울 강남구 광평로46길 5-5 1-2층,https://place.map.kakao.com/12958719,"보리굴비정식 (27,000원); 감자전 (18,000원); 해물파전 (20,000원); 시골보쌈 (중) (43,000원); 청국장과보리밥 (12,000원); 떡갈비정식 (17,000원); 자연채쌈정식 (18,000원); 수육정식 (19,000원); 코다리정식 (22,000원); 모두부 (16,000원); 두부구이 (19,000원); 떡갈비 (20,000원); 철판더덕두루치기 (26,000원); 수육 (28,000원); 코다리더덕구이 (30,000원); 보리굴비 (32,000원); 시골보쌈 (대) (53,000원)"
수서,우공뭉티기 수서점,서울 강남구 광평로 280 로즈데일오피스텔 지하2층 B112호,https://place.map.kakao.com/1093623935,"뭉티기(소) (49,000원); 소곱창전골(소) (35,000원); 선지해장국(보통) (9,000원); 소고기국밥(보통) (10,000원); 육회비빔밥(보통) (12,000원); 한우맑은곰탕(보통) (10,000원); 설곰탕(보통) (12,000원); 육회(소) (39,000원); 소갈비찜(소) (39,000원); 곰갈이 세트(1인분) (19,000원)"
수서,투썸플레이스 수서역점,서울 강남구 광평로56길 8-13 수서타워 1층 102~107호,https://place.map.kakao.com/547248739,"아메리카노 (4,700원); 라떼 (5,200원)"
수서,버거킹 수서점,서울 강남구 광평로 280 로즈데일오피스텔 1층,https://place.map.kakao.com/7900894,메뉴 정보 없음
수서,수서동1번집,서울 강남구 광평로56길 8-13 수서타워 지하1층,https://place.map.kakao.com/512201002,"토마토 목살 찹스테이크 (23,000원); 소등심데리야끼 (22,000원); 차돌 국물 떡볶이 (23,000원); 유자 간장 절임 메로구이 (24,000원); 로제 소스 새우볼 (18,000원)"
수서,투뿔상회,서울 강남구 밤고개로1길 22,https://place.map.kakao.com/1776062096,"투뿔채끝등심 150g (39,000원); 투뿔차돌박이 150g (27,000원); 육회 180g (21,000원); 돼지한마리 모듬 2인분 600g (57,000원); 한돈 돼지왕갈비 300g (17,000원); 프라임 우삼겹 200g (17,000원); 한돈오겹살 / 이베리코흑돼지 3인분 800g (76,000원); 얼큰쭈꾸미 폭탄밥(2인) (30,000원); 갈비정식 (10,000원); 제육정식 (9,000원); 보쌈정식 (9,000원); 소불고기정식 (9,000원); 왕갈비탕 (15,000원)"
수서,스타벅스 수서역R점,서울 강남구 광평로 281 수서빌딩 1층,https://place.map.kakao.com/2140311573,"피치 요거트 블렌디드 (6,500원); 씨솔트 카라멜 콜드 브루 (6,500원); 제주 탄제린 블렌디드 (8,000원); 자몽 망고 코코 프라푸치노 (7,100원); 더블 머스캣 블렌디드 (6,700원); 바나나 아몬드 오트 프라푸치노 (7,900원); 초코 바나나 아몬드 오트 프라푸치노 (7,900원); 제주 말차 요거트 블렌디드 (6,500원); 스타벅스 망고 라떼 (6,500원); 칩 앤 칩 모카 프라푸치노 (6,700원); 스타벅스 꿀 호떡 크림 프라푸치노 (9,300원); 밀크카라멜 라떼 (5,800원); 아이스 밀크카라멜 라떼 (5,800원); 오늘의 커피 (4,500원); 카푸치노 (5,200원); 카페 라떼 (5,200원); 카페 모카 (5,700원); 카페 아메리카노 (4,700원); 카라멜 마키아또 (6,100원); 화이트 초콜릿 모카 (6,100원); 스타벅스 돌체 라떼 (6,100원); 자바 칩 프라푸치노 (6,500원); 망고 바나나 블렌디드 (6,600원); 아이스 자몽 허니 블랙 티 (5,900원); 자몽 허니 블랙 티 (5,900원); 콜드 브루 (5,100원); 디카페인 카페 아메리카노 (5,000원); 디카페인 카페 라떼 (5,500원); 제주 말차 라떼 (6,100원); 돌체 콜드 브루 (6,000원)"
수서,육전면사무소 수서역점,서울 강남구 밤고개로1길 10 수서현대벤쳐빌오피스텔 지하1층 B121호,https://place.map.kakao.com/26796197,"육전 냉면 (8,000원); 명태무침 (4,500원); 육전오버랩 (16,000원); 섞어전 (25,000원); 명태무침 육전보쌈 (중) (25,000원); 육전찜닭 (23,000원); 소고기 생면 (7,500원)"
수서,치마오,서울 강남구 밤고개로1길 10 수서현대벤쳐빌오피스텔 지하2층 232호,https://place.map.kakao.com/25407505,"니코미 함바그 (10,000원); 치마오세트 (15,000원); 가라아게 (25,000원); 니코미치즈함바그 (13,000원); 사사미카츠함바그 (11,000원); 돈카츠 (11,000원); 치즈돈가츠 (13,000원); 사사미카츠 (11,000원); 사사미카츠에비 (12,000원); 치킨남방 (13,000원); 가라아게정식 (11,000원); 새우튀김정식 (13,000원); 야끼니꾸 (15,000원); 삼겹이따메 (11,000원); 사사미야끼 (11,000원); 야끼해시 (10,000원); 닭안심정식 (11,000원); 김치찜 (11,000원); 카츠동 (11,000원); 데리마요동 (11,000원); 오야꼬동 (11,000원); 사사미데리마요동 (11,000원); 가라아게동 (12,000원); 사케동 (14,000원); 연어장덮밥 (15,000원); 돈코츠라멘 (9,000원); 돈코츠차슈라멘 (13,000원); 쇼유라멘 (9,000원); 쇼유차슈라멘 (13,000원); 돈카츠쇼유라멘 (14,000원); 나카사키짬뽕 (11,000원); 히레카츠세트 (17,000원); 히레미소이따에세트+히레카츠 (20,000원); 사사미야끼세트 (15,000원); 사사미카츠세트 (15,000원); 야끼니쿠 (15,000원); 야끼소바세트 (16,000원); 삼겹숙주이따메 (25,000원); 연어사시미 (30,000원); 야끼니쿠 안주 (30,000원); 치마오 안주세트 (30,000원)"
